OverallPoF,,OverallPoF
1.0,40892,1.0
0.0,99332,0.0
1.0,64603,1.0
1.0,58444,1.0
0.0,43168,0.0
0.0,93841,0.0
0.0,63407,0.0
0.0,81481,0.0
0.0,29792,0.0
1.0,9333,1.0
0.0,62225,0.0
0.0,74810,0.0
0.0,4939,0.0
1.0,14689,1.0
1.0,8846,1.0
1.0,58095,1.0
1.0,93986,1.0
0.0,26160,0.0
0.0,29179,0.0
0.0,74376,0.0
1.0,26542,1.0
1.0,14993,1.0
1.0,73293,1.0
1.0,40719,1.0
0.0,29874,0.0
1.0,23032,1.0
1.0,18247,1.0
1.0,32588,1.0
1.0,41877,1.0
0.0,96865,0.0
0.0,12230,0.0
0.0,63431,0.0
0.0,54708,0.0
1.0,19187,1.0
0.0,87333,0.0
1.0,87975,1.0
1.0,71055,1.0
0.0,17291,0.0
0.0,59183,0.0
0.0,78986,0.0
1.0,72997,1.0
1.0,11024,1.0
0.0,81817,0.0
0.0,14958,0.0
0.0,23828,0.0
0.0,79795,0.0
0.0,55452,0.0
0.0,52141,0.0
0.0,19536,0.0
1.0,17609,1.0
0.0,33238,0.0
0.0,71929,0.0
0.0,46745,0.0
1.0,40899,1.0
1.0,91135,1.0
0.0,7377,0.0
1.0,84943,1.0
1.0,18319,1.0
0.0,44607,0.0
0.0,63640,0.0
0.0,2796,0.0
0.0,76813,0.0
1.0,26603,1.0
0.0,21174,0.0
0.0,488,0.0
1.0,86075,1.0
1.0,42044,1.0
1.0,91939,1.0
1.0,29641,1.0
0.0,75402,0.0
0.0,34744,0.0
0.0,37321,0.0
0.0,6672,0.0
1.0,55066,1.0
1.0,2302,1.0
1.0,54561,1.0
0.0,54541,0.0
0.0,31843,0.0
1.0,20731,1.0
0.0,27203,0.0
1.0,57264,1.0
0.0,7415,0.0
1.0,67386,1.0
1.0,73039,1.0
0.0,76512,0.0
1.0,57285,1.0
1.0,13540,1.0
1.0,64234,1.0
0.0,34374,0.0
1.0,70564,1.0
0.0,11567,0.0
0.0,5975,0.0
0.0,92914,0.0
0.0,26899,0.0
1.0,95495,1.0
0.0,36409,0.0
0.0,91666,0.0
1.0,96158,1.0
1.0,39352,1.0
1.0,53948,1.0
1.0,5235,1.0
1.0,13423,1.0
0.0,94859,0.0
0.0,10460,0.0
1.0,48898,1.0
0.0,94884,0.0
1.0,54874,1.0
0.0,80050,0.0
0.0,9527,0.0
0.0,39219,0.0
1.0,29120,1.0
0.0,6519,0.0
0.0,32685,0.0
1.0,60543,1.0
0.0,60241,0.0
0.0,67009,0.0
1.0,20431,1.0
0.0,87283,0.0
0.0,1721,0.0
0.0,12002,0.0
1.0,51605,1.0
0.0,45167,0.0
0.0,45090,0.0
1.0,94367,1.0
1.0,22326,1.0
0.0,59358,0.0
0.0,22120,0.0
0.0,33453,0.0
1.0,34444,1.0
1.0,85756,1.0
1.0,4444,1.0
0.0,98913,0.0
0.0,95344,0.0
0.0,79571,0.0
1.0,70900,1.0
0.0,11434,0.0
0.0,15988,0.0
0.0,63054,0.0
0.0,3058,0.0
0.0,54032,0.0
1.0,4985,1.0
1.0,40544,1.0
0.0,95097,0.0
1.0,33803,1.0
1.0,29103,1.0
1.0,62964,1.0
0.0,60681,0.0
0.0,80304,0.0
0.0,55013,0.0
0.0,30851,0.0
0.0,21704,0.0
0.0,73560,0.0
0.0,96845,0.0
1.0,12940,1.0
1.0,31459,1.0
