,OverallPoF
330,1
39,0
277,1
36,0
400,1
118,0
99,1
19,0
159,0
304,1
2,0
380,1
183,0
301,1
91,0
186,0
28,0
126,0
20,0
15,0
3,0
72,0
364,1
270,1
306,1
276,1
193,0
314,1
211,0
142,0
62,0
341,1
336,1
67,1
63,0
202,0
215,0
27,0
188,0
288,1
333,1
261,1
360,1
323,1
77,0
151,0
155,0
358,1
374,1
369,1
287,1
102,0
286,1
327,1
135,0
74,1
218,0
273,1
243,1
296,1
372,1
177,0
157,0
85,0
200,0
241,1
205,1
89,0
168,0
332,1
370,1
97,0
216,0
337,1
14,0
82,0
310,1
125,0
347,1
120,0
342,1
192,0
70,0
57,0
121,0
180,0
0,1
108,0
129,0
114,0
265,1
283,1
30,0
279,1
223,1
387,1
122,0
158,0
219,0
396,1
1,0
239,1
317,1
171,0
299,1
41,0
321,1
5,0
64,0
133,0
389,1
293,1
381,1
43,0
348,1
123,0
181,0
80,0
398,1
217,0
144,1
143,1
385,1
262,1
146,1
255,1
340,1
182,1
8,0
294,1
346,1
149,1
198,0
356,1
269,1
145,0
46,0
98,0
37,0
393,1
154,0
264,1
329,1
266,1
292,1
313,1
190,0
355,1
350,1
148,0
73,0
386,1
214,0
153,1
373,1
127,1
134,0
272,1
238,0
131,0
247,1
44,0
76,0
173,0
140,0
185,0
225,0
52,0
391,1
395,1
17,0
6,1
113,1
394,1
297,1
236,0
152,1
280,1
298,1
71,1
282,1
137,0
315,1
384,1
166,0
335,1
368,1
209,0
362,1
197,1
26,0
161,0
260,1
308,1
18,0
263,1
60,0
222,1
295,1
162,1
325,1
371,1
220,0
213,0
179,0
345,1
139,1
258,1
259,1
34,0
187,0
33,0
234,0
16,0
61,0
164,1
245,1
361,1
165,0
284,1
110,0
38,0
201,0
9,0
257,1
281,1
7,0
267,1
103,0
116,0
278,1
229,1
354,1
107,0
86,0
316,1
109,0
311,1
250,1
138,1
141,0
49,0
106,0
324,1
365,1
51,0
160,0
285,1
392,1
363,1
115,0
196,0
290,1
66,0
47,0
40,0
248,1
210,0
367,1
147,0
328,1
249,1
84,0
96,0
32,1
303,1
351,1
191,0
178,0
253,1
208,0
58,0
378,1
172,0
237,0
95,0
322,1
22,0
11,0
251,1
119,0
309,1
75,0
136,0
68,1
246,1
235,0
56,0
199,0
343,1
230,1
359,1
319,1
163,0
231,0
87,0
203,0
291,1
300,1
256,1
379,1
212,0
271,1
169,0
376,1
111,0
184,0
289,1
331,1
69,0
318,1
194,0
382,1
79,0
320,1
31,1
150,1
55,0
13,0
353,1
23,0
128,0
388,1
204,0
54,0
334,1
344,1
207,0
105,0
302,1
4,0
307,1
48,0
59,1
275,1
104,0
124,0
174,0
24,0
377,1
50,0
