,OverallPoF
3102,0
1752,0
49,0
4055,0
2319,0
2278,0
5771,1
6006,1
272,0
2170,0
8417,1
8804,1
6065,1
2262,0
1243,0
9600,1
5629,1
87,0
8588,1
8026,1
9393,1
6166,1
626,0
2416,0
8043,1
2587,0
2163,0
6093,1
3626,0
7482,1
6589,1
9746,1
5275,1
3624,0
2257,0
5169,1
366,0
5809,1
2095,0
305,0
6252,1
1356,0
5482,1
9401,1
8180,1
3706,0
1777,0
3942,0
7087,1
9752,1
4686,0
5416,1
8192,1
4674,0
5474,1
6286,1
3564,0
2358,0
8318,1
7037,1
3261,0
1255,0
8160,1
6815,1
6625,1
5108,1
9749,1
7634,1
2241,0
6132,1
9397,1
7055,1
1839,0
3265,0
7973,1
9634,1
288,0
7641,1
7342,1
2322,0
8251,1
1417,0
4525,0
7143,1
3111,0
13,0
9877,1
1823,0
1543,0
4321,0
6562,1
7787,1
6692,1
3465,0
5187,1
8029,1
8842,1
407,0
6679,1
9247,1
3461,0
7870,1
5289,1
4758,0
8715,1
1828,0
5473,1
7318,1
8347,1
8655,1
5279,1
2384,0
3704,0
5563,1
7257,1
1267,0
5066,1
5558,1
2666,0
5967,1
4866,0
6435,1
4409,0
7772,1
9930,1
5937,1
8073,1
8779,1
2182,0
7943,1
6317,1
6896,1
1026,0
63,0
4597,0
1481,0
2778,0
5163,1
5503,1
5197,1
597,0
9989,1
8953,1
5963,1
3324,0
841,0
3072,0
8164,1
7402,1
6571,1
9114,1
9294,1
7108,1
9350,1
8506,1
6917,1
3986,0
6017,1
5464,1
7093,1
9979,1
6683,1
9761,1
1984,0
6556,1
7434,1
233,0
3711,0
807,0
9636,1
9808,1
3486,0
2696,0
1041,0
6297,1
974,0
8659,1
4850,0
48,0
193,0
2875,0
5949,1
3026,0
2604,0
7976,1
5982,1
1321,0
5078,1
8943,1
5127,1
7577,1
4598,0
879,0
9117,1
9995,1
4715,0
5671,1
1568,0
678,0
2636,0
2622,0
4637,0
3136,0
2544,0
3653,0
4612,0
9646,1
555,0
1049,0
4244,0
9623,1
493,0
9040,1
2658,0
7552,1
7,0
3214,0
3480,0
1186,0
7086,1
4899,0
2665,0
2973,0
3085,0
2290,0
1418,0
6391,1
8919,1
1625,0
4313,0
4340,0
1351,0
7024,1
8392,1
6910,1
1725,0
1002,0
5848,1
2273,0
7609,1
786,0
2048,0
5476,1
565,0
1932,0
9122,1
2129,0
9630,1
8658,1
4156,0
314,0
1598,0
6995,1
1009,0
6115,1
8174,1
6650,1
9859,1
3692,0
5748,1
967,0
5318,1
9180,1
9108,1
9556,1
1325,0
3376,0
4596,0
8383,1
3599,0
3441,0
403,0
8809,1
2272,0
5094,1
5264,1
8207,1
7738,1
7522,1
4354,0
6187,1
5559,1
5994,1
