,OverallPoF
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,1
340,0
