,OverallPoF
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,1
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,0
445,1
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,1
532,1
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,1
578,1
579,0
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,1
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,0
681,1
682,1
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,0
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,1
721,0
722,0
723,1
724,0
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,1
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,1
762,1
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,1
778,0
779,1
780,0
781,0
782,0
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,0
815,0
816,1
817,0
818,0
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,0
833,1
834,0
835,0
836,1
837,1
838,0
839,1
840,1
841,1
842,0
843,1
844,1
845,0
846,0
847,0
848,1
849,0
850,0
851,0
852,1
853,1
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,1
862,0
863,0
864,0
865,1
866,1
867,0
868,1
869,1
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,0
910,0
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,1
919,0
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,0
966,0
967,0
968,1
969,0
970,0
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,0
999,0
1000,1
1001,1
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,1
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,1
1090,0
1091,1
1092,0
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,0
1112,0
1113,0
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,1
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,0
1157,1
1158,0
1159,0
1160,1
1161,1
1162,0
1163,1
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,1
1179,0
1180,0
1181,0
1182,1
1183,0
1184,0
1185,1
1186,0
1187,1
1188,0
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,0
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,0
1228,1
1229,1
