,OverallPoF
5299,1
4630,0
7124,1
6631,1
2604,0
1955,0
7260,1
2273,0
4510,0
9573,1
3998,0
262,0
3271,0
951,0
3801,0
1319,0
8886,1
781,0
6614,1
4238,0
6367,1
8211,1
1206,0
6893,1
37,0
4878,0
8115,1
6887,1
3633,0
3272,0
3477,0
739,0
5511,1
741,0
95,0
5743,1
88,0
5885,1
5264,1
8142,1
382,0
3637,0
4358,0
936,0
9356,1
1714,0
9469,1
4516,0
8642,1
4099,0
2185,0
9978,1
4919,0
5576,1
8069,1
7147,1
5993,1
8263,1
8431,1
276,0
7899,1
7176,1
639,0
6112,1
3847,0
2541,0
6436,1
8515,1
3444,0
2677,0
4500,0
9381,1
5189,1
76,0
3141,0
9574,1
7792,1
5027,0
9700,1
4086,0
8736,1
2104,0
7604,1
5590,1
2170,0
8151,1
9871,1
7648,1
8928,1
2065,0
1862,0
3587,0
9899,1
6413,1
6222,1
8869,1
6157,1
2955,0
6911,1
4586,0
4642,0
2924,0
7828,1
2206,0
7097,1
4015,0
1213,0
7366,1
5386,1
8866,1
3807,0
8056,1
4707,0
1499,0
2856,0
8973,1
2985,0
3464,0
3017,0
9158,1
5214,1
3891,0
3241,0
6596,1
530,0
2080,0
6748,1
3736,0
1057,0
1952,0
6098,1
5573,1
151,0
302,0
177,0
6713,1
3794,0
5004,0
7023,1
1626,0
3995,0
8070,1
4768,0
7412,1
7390,1
654,0
4717,0
3094,0
3363,0
8394,1
1914,0
2386,0
785,0
5915,1
6585,1
6395,1
7494,1
9862,1
1641,0
1249,0
9269,1
8658,1
6701,1
9832,1
6448,1
3537,0
7033,1
3207,0
4450,0
5868,1
1794,0
2893,0
5048,1
1770,0
9837,1
5113,1
8547,1
3964,0
6542,1
5825,1
9323,1
4412,0
3038,0
4331,0
4590,0
3041,0
3080,0
8527,1
6600,1
925,0
1766,0
2587,0
7169,1
6470,1
7794,1
5044,1
7932,1
2864,0
9513,1
3814,0
9058,1
5970,1
5962,1
6534,1
4561,0
6827,1
9707,1
2181,0
3308,0
5101,1
6700,1
1640,0
4118,0
8319,1
5708,1
5895,1
4843,0
5154,1
759,0
7202,1
9339,1
2651,0
1969,0
5753,1
8253,1
3788,0
7757,1
4533,0
7634,1
5151,1
5737,1
8189,1
8137,1
4470,0
7008,1
3194,0
9744,1
7923,1
6566,1
2127,0
9203,1
602,0
9200,1
3355,0
811,0
4198,0
521,0
453,0
1961,0
802,0
8580,1
4423,0
8999,1
5800,1
5224,1
484,0
5127,1
9431,1
8818,1
3638,0
3061,0
2227,0
8479,1
4389,0
3932,0
